#{"t_start": 1762622655.259359, "env_id": "LunarLander-v3"}
r,l,t
-177.763869,114,0.107995
-134.063932,70,0.145505
-427.183441,99,0.194432
-10.698095,61,0.233188
-87.295635,54,0.260522
-221.125504,98,0.312939
-321.955919,79,0.356681
-238.554292,92,0.403715
-121.343095,91,0.451864
-86.448258,73,0.488864
-95.83096,69,0.52489
-101.757111,69,0.562257
-172.73993,97,1.172021
-153.854248,95,1.227737
-88.47941,60,1.268154
-136.60832,62,1.30838
-135.058399,95,1.36159
-170.161989,117,1.438591
-178.757014,96,1.499088
-27.162554,151,1.596172
-239.77032,68,1.642351
-114.003402,64,1.775957
-138.018437,79,1.822638
-90.349008,67,1.862583
-312.510493,77,2.71325
-216.290771,65,2.751535
-78.804007,89,2.802563
-77.862997,114,2.866269
-209.003145,114,2.933617
-111.779806,97,3.007793
-222.331787,81,3.063867
-88.59536,83,3.115283
-4.950378,90,3.177389
-84.975058,111,3.362891
-450.054978,96,3.434373
49.86128,97,4.070071
-96.375195,79,4.117798
-216.595694,86,4.165781
-190.493292,102,4.224623
-329.539947,111,4.288177
-528.232516,114,4.348023
-100.995609,96,4.400964
-101.504948,88,4.450462
-174.388239,87,4.499606
-194.382618,163,4.654781
-181.240774,129,5.499482
-295.950643,107,5.561193
-368.771344,85,5.608067
-249.725615,100,5.665525
-83.406573,81,5.715518
-132.150868,96,5.81353
-440.855938,127,6.028044
-193.93723,186,6.171476
4.053814,72,6.338309
-224.136622,96,6.998054
-185.399956,121,7.075805
-339.493753,139,7.162593
-99.813436,73,7.209086
-116.603469,90,7.265213
-228.548415,101,7.326223
-110.028493,95,7.380694
-87.306946,78,7.426735
-305.409868,118,7.590559
-259.001631,132,7.67095
-107.959525,167,8.49336
-310.559029,116,8.546204
-274.074603,72,8.578574
-240.047898,130,8.636349
-70.96767,92,8.678123
-314.556626,108,8.727239
-134.441086,79,8.762283
-56.950679,73,8.793617
-105.297597,95,8.838704
-419.046204,126,8.895259
-107.830008,164,9.437949
-41.908118,83,9.475663
-112.42657,116,9.532758
-164.033651,153,9.610062
-69.954435,136,9.675318
-237.849468,97,9.722091
-75.480911,72,9.755304
-33.307858,72,9.787103
-171.142847,77,9.826455
-407.645433,193,10.396503
-77.402643,131,10.457634
-131.952332,86,10.495252
-217.138893,200,10.583017
-109.170929,94,10.625188
-131.627399,95,10.66898
-66.298644,112,10.722433
-79.361108,148,10.788739
20.597168,130,11.296207
-137.476386,150,11.36681
-185.259647,161,11.437475
-153.048592,164,11.512106
-89.54674,90,11.554136
-73.926578,82,11.591281
-126.834795,117,11.643476
-77.763869,114,11.693291
-266.70848,218,12.248079
-162.98343,145,12.313345
-168.14198,105,12.360048
-152.086758,147,12.427867
-283.792609,116,12.478965
-74.842398,132,12.537587
-36.597717,81,12.574042
-182.74205,129,12.631284
-80.685265,155,13.150632
-96.139919,100,13.195978
-112.759179,125,13.252651
-44.87688,103,13.297616
-25.967971,186,13.386413
-195.380211,183,13.467339
-366.11995,141,13.529142
-94.157239,193,14.073443
-54.281321,157,14.143621
-120.278787,156,14.215828
-82.651109,97,14.25857
-204.557797,186,14.339024
-24.412252,129,14.405545
-56.927266,133,14.476277
-103.739227,153,15.072496
-191.761546,93,15.114436
-74.802231,138,15.183974
-69.484021,201,15.274045
12.59431,94,15.319408
-26.319385,142,15.382457
-60.8793,84,15.425406
-197.455996,187,15.950453
-231.28259,281,16.079015
-121.869338,167,16.159135
-44.54797,135,16.220031
-284.137042,219,16.317277
-58.743431,175,16.840124
-185.102712,215,16.938154
-120.474547,226,17.043485
-75.646966,155,17.111126
-332.946999,176,17.189149
-265.678448,121,17.246167
-25.471799,184,17.775211
-248.380333,151,17.846554
-313.157418,260,17.964013
14.910838,226,18.068418
-295.630421,250,18.182751
-59.902366,146,18.697567
27.977431,293,18.827392
-193.767499,106,18.874764
-249.868258,178,18.955729
-180.997966,143,19.019636
-87.722342,252,19.575217
-109.120382,140,19.642085
-234.295479,184,19.728251
-152.845336,116,19.779364
-85.676321,121,19.832925
-161.631387,186,19.916809
-241.01387,173,19.994728
-193.813041,200,20.530275
-146.340906,130,20.588403
-63.94172,127,20.645446
-127.393201,136,20.707158
-1.787153,115,20.762193
-161.321747,276,20.885427
-201.794434,277,21.463014
-255.453078,177,21.542038
-270.857618,281,21.66859
-37.048109,215,21.765293
-172.030928,240,22.326893
39.029305,297,22.456555
-170.219028,97,22.502034
-102.09832,268,22.620282
-52.429964,367,23.240107
-255.680431,200,23.32993
-41.376442,146,23.395453
-174.657646,258,23.511966
-257.958175,322,23.653243
-61.220523,313,24.236019
-58.359705,230,24.335174
0.003905,132,24.396924
-117.310152,181,24.476623
-69.406944,301,25.060933
-142.333781,197,25.147882
-293.392931,283,25.26861
-214.646368,249,25.374892
-96.070447,429,26.011946
-144.177797,456,26.215744
-205.116906,197,26.303497
-83.95922,141,26.379466
-69.175695,391,26.989714
-40.356477,348,27.150567
-23.555248,1000,28.042813
-197.231151,338,28.631702
-63.020604,240,28.734235
-178.114251,624,29.010146
-33.597639,274,29.583023
-181.2613,502,29.813434
-43.952175,341,29.965471
-52.098416,575,30.667822
66.06056,1000,31.564863
8.063548,1000,32.450332
-114.523812,198,32.537237
-94.931912,1000,33.458678
34.103509,1000,34.369969
57.057356,1000,35.255713
-69.260075,1000,36.13078
-5.233337,1000,37.01227
42.828216,1000,37.926452
-40.321148,1000,38.81379
17.828994,1000,39.697513
96.356944,838,40.530757
-24.904704,1000,41.42285
41.897604,1000,42.303252
-8.293444,1000,43.194706
-38.017094,1000,44.083375
-72.496326,1000,44.98493
-69.614324,1000,45.885081
37.900836,1000,46.774675
-17.337632,1000,47.661573
25.111569,1000,48.550157
43.399624,1000,49.438688
161.516193,811,49.795444
109.608401,976,50.743404
-77.995255,1000,51.65058
153.787425,531,52.353812
-75.701505,1000,53.240377
-31.245833,1000,54.116421
-31.915039,1000,54.999076
129.557011,735,55.320417
-32.453199,1000,56.208414
37.135918,1000,57.090378
147.755762,772,57.881699
166.731396,724,58.651553
-94.088421,671,59.405073
148.342552,800,59.760822
-10.785577,1000,60.672089
-138.167156,709,61.441011
-74.754909,756,62.222794
155.160539,731,62.543171
155.111643,754,63.351014
-137.54061,736,64.162512
8.309222,1000,65.052377
171.435513,744,65.821698
158.317132,649,66.111435
-48.598503,1000,67.00004
-60.144439,1000,67.898016
-18.078834,1000,68.785105
74.554261,966,69.67704
143.45644,945,70.585535
9.101627,1000,71.480896
40.066654,1000,72.365807
-99.250349,163,72.43737
124.819319,943,73.292134
-186.175612,560,73.985681
-115.741181,733,74.305684
-226.452571,867,75.132438
-12.01564,1000,76.018508
-66.539683,1000,76.893586
-19.031874,1000,77.774761
94.007719,957,78.637115
-146.678228,943,79.495971
-164.497757,793,80.329472
15.439949,1000,81.284136
-17.140663,1000,82.165587
167.195969,869,82.986471
157.368214,689,83.309088
98.475515,998,84.198559
-28.305122,1000,85.080924
120.098125,787,85.867253
-100.40139,577,86.122189
-83.012083,1000,86.992755
-74.741832,1000,87.880295
-19.330126,1000,88.761744
1.056016,1000,89.651897
155.420476,841,90.464184
26.403454,1000,91.375436
22.650793,1000,92.358447
136.694997,807,93.161539
-162.834391,712,93.93043
72.669069,893,94.324283
-160.951279,732,95.132333
-84.802917,510,95.800538
-123.150636,834,96.603979
-83.322795,559,96.847639
153.319191,803,97.646807
-114.725415,668,98.387633
-111.07627,572,98.637986
146.398112,810,99.435931
93.449544,754,100.215736
-119.026667,633,100.493714
-137.401918,751,101.293471
-96.74572,555,101.539269
107.491568,779,102.322
153.949137,839,103.135113
-93.498476,644,103.857251
159.419851,881,104.688561
106.852425,771,105.038904
92.205901,745,105.827407
145.003329,829,106.635481
124.389561,784,107.415748
-81.510806,440,107.605626
124.714888,787,108.393412
-93.385007,656,108.675579
150.287967,879,109.503908
-125.950987,548,110.194766
-155.61999,707,110.956942
120.953066,846,111.33889
-81.569847,827,112.156082
-180.551639,867,112.980901
119.406067,905,113.83856
118.410727,982,114.748667
-17.554796,1000,115.689196
64.485458,1000,116.709119
82.454821,931,117.729708
130.411084,932,118.73452
-134.548972,471,118.942512
62.520215,927,119.813434
-7.039211,1000,120.742896
-179.680632,748,121.539923
59.677733,944,122.402748
76.76516,786,122.744719
-155.371289,582,123.490812
-31.093359,1000,124.427703
185.802076,847,125.248931
-113.938827,843,126.073783
174.860538,633,126.35282
-161.182433,679,127.101237
-103.370402,204,127.194781
32.747059,920,128.087453
175.077955,865,128.905598
-121.852448,768,129.685986
60.714486,936,130.101037
-18.019518,1000,130.982515
-126.081002,388,131.622703
-28.20056,1000,132.52033
-95.024715,562,132.768317
-55.411439,298,133.342912
-14.005919,1000,134.24035
-116.653035,167,134.312942
51.42749,934,135.177776
122.927576,874,136.017098
-76.573258,1000,136.891626
-62.732996,1000,137.767775
63.334575,770,138.108375
-58.919537,243,138.212853
-6.364789,1000,139.096572
-74.673227,261,139.655031
-6.72518,1000,140.541468
116.667371,941,141.400226
49.550656,836,141.778392
-113.660568,616,142.501283
-190.114986,722,143.287281
97.132275,869,144.134588
4.18531,1000,145.017317
-173.884997,950,145.434342
-87.030031,1000,146.322431
-57.340371,311,146.9022
-78.262501,294,147.032597
134.500414,787,147.812116
146.195519,665,148.104188
138.704647,731,148.860112
-73.3909,442,149.527527
-6.739808,1000,150.400831
147.76077,704,150.713688
121.221469,776,151.50124
-77.554799,447,151.696467
21.353768,1000,152.592836
143.726353,785,153.403026
166.215262,754,154.17831
155.518371,810,154.968453
76.762226,928,155.85131
56.446539,1000,156.734631
145.38125,791,157.080405
5.380526,1000,157.981796
-27.294248,1000,158.860097
-135.485968,775,159.641816
5.447407,1000,160.529732
-6.776236,1000,161.418221
159.282026,790,162.218702
146.386795,894,163.048249
-121.573263,277,163.172443
123.88999,825,163.973868
82.091989,920,164.83176
2.637034,1000,165.721859
120.099935,987,166.593077
-257.023602,899,167.422837
21.638136,1000,167.865363
117.195149,752,168.641879
149.372459,718,169.40041
162.50745,804,170.206047
-150.225007,661,170.495716
-101.017663,483,171.166211
-94.58952,413,171.345152
-138.630735,507,172.026625
90.799783,810,172.839311
-97.759018,654,173.134785
-101.28741,634,173.855191
113.965469,735,174.179058
168.149521,697,174.92811
35.411197,1000,175.817455
-127.050337,666,176.550195
43.410674,1000,177.433982
-76.18498,1000,178.319516
127.723669,711,178.628693
202.376786,571,179.324907
175.928895,639,180.043562
154.380653,699,180.348996
-139.028014,610,181.072388
-247.14676,841,181.891431
-98.80133,459,182.092494
64.206736,1000,182.986285
129.473353,748,183.827889
-115.564534,502,184.045435
-142.515634,597,184.754771
-41.34343,1000,185.635734
-134.012206,796,186.42155
162.018295,913,187.27001
131.603398,864,187.652138
138.659771,668,188.402514
43.149457,1000,189.290237
-5.253383,1000,190.158771
158.208828,724,190.90776
188.60942,637,191.189948
145.77951,781,191.968192
-4.069541,1000,192.858454
156.094068,740,193.622386
194.413206,713,194.364348
145.551276,523,194.600302
-140.363649,697,195.343147
12.388172,1000,196.226503
154.318367,728,196.541739
200.626861,654,197.258071
163.182758,736,198.013902
-138.193669,982,198.873283
27.410325,1000,199.751073
175.379609,770,200.087469
-14.140405,1000,201.014776
174.671031,986,201.889046
113.720245,730,202.648492
139.046407,738,203.430608
42.079013,1000,204.325115
127.470247,687,204.623301
153.541542,808,205.410869
194.396925,665,206.14653
-89.630576,181,206.228751
117.20482,643,206.957016
172.745571,651,207.241785
115.965802,959,208.098574
-33.263334,1000,208.960919
-44.471372,1000,209.841561
-50.481724,466,210.485162
-80.071902,593,210.742293
122.093982,744,211.521662
-19.241386,1000,212.392654
-78.634449,235,212.495797
142.825611,801,213.32548
135.539387,919,214.168458
-97.704479,1000,215.033647
173.33985,600,215.290731
96.86867,854,216.174476
-52.922513,1000,217.07944
6.185733,1000,217.99384
190.498254,774,218.764068
189.017137,627,219.471379
-88.395736,362,219.627937
-168.468167,752,220.55531
-88.157772,566,220.810027
-141.713797,693,221.604056
-89.825352,437,221.801196
-146.440825,645,222.648283
-59.895397,545,223.328596
-56.954247,400,223.506917
-165.857804,699,224.253704
-154.73433,502,224.469001
-113.143941,447,225.110974
-114.080385,637,225.384573
-89.094211,298,225.515073
-96.274961,232,226.080508
126.458785,544,226.314876
-122.186126,496,226.967918
-174.517319,661,227.255388
-44.880957,1000,228.125105
-152.247608,576,228.807446
-88.238788,309,228.941371
-80.018362,590,229.639854
-179.530127,751,229.969687
-155.389546,741,230.747034
-71.385458,406,231.365947
183.919009,529,231.602822
-112.950879,492,232.264106
41.941444,926,232.670075
-55.218449,1000,233.595624
-138.412176,641,234.317168
-97.906052,199,234.404019
160.806408,750,235.164061
-96.754742,356,235.314471
-82.720247,229,235.84732
155.289662,717,236.161494
-96.127826,296,236.719608
-188.064978,892,237.104205
102.636792,969,237.957578
-164.573671,555,238.81761
-22.26868,1000,239.84705
-97.921508,222,239.94939
113.921365,898,241.086684
-110.641745,886,242.010964
-121.18487,501,242.228587
-177.004773,868,243.104042
-173.411779,635,244.053207
-38.150981,1000,245.012814
-100.470976,708,245.75469
-58.31614,1000,246.191297
160.154463,809,246.974838
-98.569045,495,247.624289
-54.653675,1000,248.514693
155.15581,685,248.80927
-87.141539,403,249.430875
-103.406436,372,249.594407
5.857384,1000,250.464858
129.66979,842,251.266417
-98.330758,560,251.506608
175.861108,616,252.210033
21.716464,1000,253.076546
-49.443624,1000,253.964574
-108.581264,473,254.614873
-59.828198,1000,255.044999
-25.603587,1000,255.915027
12.019829,1000,256.788932
-99.238666,563,257.475004
-132.777696,739,258.2292
-39.839578,1000,259.09518
-0.842104,1000,259.975893
114.925652,841,260.343732
17.344217,917,261.19386
-0.31392,1000,262.072884
118.959562,645,262.788976
-61.596533,173,262.863576
-10.036864,1000,263.771669
26.674334,1000,264.819981
98.194297,816,265.613454
-14.267401,1000,266.485107
37.059399,1000,267.35997
136.170596,830,268.167131
6.473792,1000,269.035642
-114.470273,597,269.299715
112.590994,836,270.114042
55.760296,1000,270.99745
-77.121013,471,271.203918
-53.807097,1000,272.068302
-78.111861,440,272.684044
-91.311085,559,272.930593
-81.066249,357,273.560679
153.262324,770,274.340793
-101.181818,788,274.675145
44.134448,1000,275.545326
132.037728,638,276.297153
-124.126533,943,277.151601
-117.185542,608,277.41638
-62.307422,273,277.986237
172.458488,815,278.343818
101.210182,893,279.19333
194.335431,605,279.891282
193.027635,898,280.716659
-96.787721,148,280.784346
209.007346,738,281.540235
-106.210841,243,281.642919
-85.167862,567,281.889585
-11.646133,1000,282.764102
171.091435,763,283.530928
-212.517315,712,284.293983
-186.112362,566,284.536003
161.688266,636,285.261099
170.351779,465,285.91978
143.936919,671,286.207519
149.233509,692,286.942194
162.626716,647,287.223873
-121.135581,127,287.706899
100.027202,720,288.024485
-50.397636,544,288.686173
140.771734,746,289.44168
147.391149,682,289.739429
160.247467,667,290.469748
130.115983,637,291.196415
-155.357345,677,291.490497
177.253654,570,292.185325
127.333875,684,292.48421
151.435031,669,293.212644
194.366277,751,293.975273
-90.388447,241,294.085989
107.793677,822,294.893385
158.723172,554,295.134046
-100.158595,231,295.662282
186.853925,617,295.927468
171.798406,683,296.657782
178.117542,580,296.910452
31.929236,1000,297.785595
-96.089741,647,298.505654
36.309778,1000,299.389908
192.666134,607,300.088876
-95.685336,206,300.180517
116.638405,786,300.958016
78.182744,751,301.287895
167.326445,657,302.01379
48.318707,1000,302.883739
190.770317,813,303.705787
-242.709757,783,304.097522
188.170773,680,304.843572
194.989072,703,305.585987
171.107311,742,306.354467
148.538173,658,306.636858
163.300245,558,307.334091
183.664017,631,307.617885
139.626473,700,308.398915
-201.92254,628,309.116895
218.793785,606,309.377636
-62.795688,256,309.92625
152.13103,604,310.205541
-92.071884,491,311.349531
132.415033,757,311.938801
-89.720261,378,313.050615
106.061202,912,314.414434
118.864803,918,315.084131
178.951208,696,316.338612
-41.507502,556,317.40326
-117.102737,535,317.760592
175.577356,647,318.947352
200.999556,717,320.039985
235.574266,760,320.502676
100.42821,1000,321.625391
-271.415009,768,322.591475
207.140451,598,323.362828
160.941538,650,323.66112
168.976872,633,324.475998
148.265085,657,324.791978
165.426285,687,325.610962
137.806502,574,326.366955
-47.850118,448,326.567739
125.598306,980,327.503386
126.546466,777,328.373948
216.806704,642,329.292946
183.754123,575,329.604731
195.352593,660,330.709113
193.36089,656,331.007112
-127.534642,121,331.061875
179.221285,670,331.899936
-134.250637,656,332.874239
189.996948,670,333.20927
-52.452482,296,333.867469
112.553703,715,334.205557
-131.083868,590,334.993439
176.799007,702,335.81494
109.759631,877,336.715841
-69.583931,584,336.973222
113.737328,709,337.750621
141.33266,538,337.990383
184.70859,677,338.730349
171.761938,543,339.445648
67.478346,872,339.829567
-135.796939,538,340.51336
172.881828,718,341.287888
135.437143,734,341.606632
179.284005,775,342.390426
19.94453,1000,343.303488
-44.914903,617,344.14145
147.865242,766,344.600179
-39.807995,388,345.355253
200.344047,663,345.655036
-116.697599,653,346.413795
152.079582,792,347.23906
214.42858,981,348.164077
-107.625427,144,348.226563
-76.239592,618,348.975764
117.546424,673,349.286733
-72.799942,262,349.404573
166.58545,663,350.290992
148.241899,686,351.128941
-159.89834,652,351.427913
-91.603468,565,352.345935
122.020639,733,353.221044
-113.18815,165,353.295192
146.421908,680,353.591757
-104.231405,586,354.295108
-69.312176,233,354.400774
87.690573,639,355.141846
-98.934096,452,355.350993
147.817056,675,356.109569
154.653449,473,356.322858
-109.815021,505,356.997499
-84.186707,288,357.12865
-26.956431,497,357.803743
-90.163675,311,357.942569
-78.428571,221,358.044754
173.198292,526,358.730648
-58.753302,285,358.853286
-80.542548,608,359.606139
132.322244,664,359.910407
111.394166,735,360.765254
23.735113,1000,361.731771
182.270328,735,362.584513
-49.037891,209,362.684169
85.538407,1000,363.660221
-48.000894,195,363.743616
149.928854,757,364.641306
73.023667,886,365.508078
-49.932834,202,365.59731
188.182815,890,366.457143
-84.884968,737,366.77465
175.249116,751,367.543879
-68.428151,320,368.152952
-119.847173,137,368.214752
142.341084,794,368.558194
52.698773,1000,369.44753
-106.606472,440,370.081823
46.455576,1000,370.969714
135.946297,889,371.819455
78.254553,959,372.691012
14.87286,1000,373.587278
10.719511,1000,374.488392
-34.595018,1000,375.41306
7.457893,1000,376.459843
-64.659513,1000,376.901963
-235.132744,892,377.735119
79.939562,873,378.584373
58.276059,1000,379.564658
-67.722792,289,379.703563
12.015745,1000,380.694126
-28.466889,1000,381.710678
76.771605,870,382.556533
-99.971661,1000,383.460324
67.146413,867,384.318182
-124.114687,1000,385.233536
116.130145,786,386.047715
27.912335,1000,386.988237
124.850136,811,387.801465
93.822076,753,388.134643
-148.820411,744,388.908783
31.791931,1000,389.840324
-123.466909,613,390.558858
-24.176011,1000,391.459764
5.242812,1000,392.346851
-125.491719,1000,393.248266
-68.835217,187,393.33362
-94.361691,295,393.467985
-103.634913,497,394.147605
41.397307,1000,395.046141
41.006228,1000,395.497811
6.376798,1000,396.42162
28.141367,948,397.413785
-253.646977,980,398.378619
117.543495,992,399.343517
26.335657,1000,400.394709
154.252834,954,401.286091
-77.190738,368,401.911264
202.831967,706,402.230389
159.785686,981,403.125816
-29.148698,1000,404.019763
209.143495,671,404.782256
182.464475,698,405.549819
180.341985,652,405.83641
-138.287532,564,406.570943
-104.732592,425,406.756917
-86.727618,179,406.842016
190.689833,650,407.587563
153.1137,683,408.340795
173.491591,658,408.631911
102.639282,815,409.451199
122.149681,641,410.190539
148.871441,717,410.514653
88.891353,731,411.305512
-4.199417,1000,412.231921
-71.249738,221,412.328765
-70.53968,240,412.882601
35.588863,1000,413.335302
161.988109,669,414.108705
196.402902,620,414.902385
65.5567,1000,415.858864
-78.532654,257,415.983144
125.80967,704,416.809354
23.211858,670,417.117371
15.082107,1000,418.029767
55.054944,1000,418.919132
9.782156,1000,419.829545
-99.31067,320,420.415879
-170.145024,641,420.691644
191.531195,626,421.42186
71.752359,1000,422.321194
-68.094982,248,422.427524
-119.042661,603,423.162869
188.942825,639,423.44952
180.059446,640,424.205955
54.043129,920,425.084436
84.945568,704,425.393894
-93.18215,448,426.037215
174.70731,665,426.817868
138.56517,631,427.114476
19.018919,1000,428.08293
63.672273,1000,429.107274
128.954836,694,429.920942
-65.130352,143,429.989549
-84.297551,341,430.141822
87.88444,830,431.123503
128.214092,893,432.09899
185.64809,677,433.071789
165.434636,711,433.398057
164.563061,731,434.289685
-61.915548,569,435.068116
